id,Image,Hurricane,Damage,OnLineC,LinesC
6541,I27,H1,1,-0.5,0.5
6541,I28,H1,0,-0.5,0.5
6541,I29,H1,0,0.5,0.5
6541,I30,H1,0,0.5,0.5
6541,I31,H1,0,0.5,0.5
6541,I32,H1,0,0.5,0.5
6654,I1,H3,1,-0.5,-0.5
6654,I2,H3,0,-0.5,-0.5
6654,I3,H3,1,-0.5,-0.5
6654,I4,H3,1,-0.5,-0.5
6654,I5,H3,0,0.5,-0.5
6654,I6,H3,0,0.5,-0.5
6654,I7,H3,0,0.5,-0.5
6654,I8,H3,0,0.5,-0.5
6654,I9,H3,1,-0.5,0.5
6654,I10,H3,1,-0.5,0.5
6654,I11,H3,1,-0.5,0.5
6654,I12,H3,1,-0.5,0.5
6654,I13,H3,0,0.5,0.5
6654,I14,H3,0,0.5,0.5
6654,I15,H3,0,0.5,0.5
6654,I16,H3,0,0.5,0.5
6654,I17,H1,1,-0.5,-0.5
6654,I18,H1,1,-0.5,-0.5
6654,I19,H1,0,-0.5,-0.5
6654,I20,H1,1,-0.5,-0.5
6654,I21,H1,0,0.5,-0.5
6654,I22,H1,0,0.5,-0.5
6654,I23,H1,0,0.5,-0.5
6654,I24,H1,0,0.5,-0.5
6654,I25,H1,1,-0.5,0.5
6654,I26,H1,1,-0.5,0.5
6654,I27,H1,1,-0.5,0.5
6654,I28,H1,1,-0.5,0.5
6654,I29,H1,0,0.5,0.5
6654,I30,H1,0,0.5,0.5
6654,I31,H1,0,0.5,0.5
6654,I32,H1,0,0.5,0.5
6856,I1,H3,0,-0.5,-0.5
6856,I2,H3,0,-0.5,-0.5
6856,I3,H3,0,-0.5,-0.5
6856,I4,H3,0,-0.5,-0.5
6856,I5,H3,0,0.5,-0.5
6856,I6,H3,0,0.5,-0.5
6856,I7,H3,0,0.5,-0.5
6856,I8,H3,0,0.5,-0.5
6856,I9,H3,0,-0.5,0.5
6856,I10,H3,0,-0.5,0.5
6856,I11,H3,0,-0.5,0.5
6856,I12,H3,0,-0.5,0.5
6856,I13,H3,0,0.5,0.5
6856,I14,H3,0,0.5,0.5
6856,I15,H3,0,0.5,0.5
6856,I16,H3,0,0.5,0.5
6856,I17,H1,0,-0.5,-0.5
6856,I18,H1,0,-0.5,-0.5
6856,I19,H1,0,-0.5,-0.5
6856,I20,H1,0,-0.5,-0.5
6856,I21,H1,0,0.5,-0.5
6856,I22,H1,0,0.5,-0.5
6856,I23,H1,0,0.5,-0.5
6856,I24,H1,0,0.5,-0.5
6856,I25,H1,0,-0.5,0.5
6856,I26,H1,0,-0.5,0.5
6856,I27,H1,0,-0.5,0.5
6856,I28,H1,0,-0.5,0.5
6856,I29,H1,0,0.5,0.5
6856,I30,H1,0,0.5,0.5
6856,I31,H1,0,0.5,0.5
6856,I32,H1,0,0.5,0.5
6867,I1,H3,0,-0.5,-0.5
6867,I2,H3,1,-0.5,-0.5
6867,I3,H3,0,-0.5,-0.5
6867,I4,H3,0,-0.5,-0.5
6867,I5,H3,0,0.5,-0.5
6867,I6,H3,0,0.5,-0.5
6867,I7,H3,0,0.5,-0.5
6867,I8,H3,0,0.5,-0.5
6867,I9,H3,1,-0.5,0.5
6867,I10,H3,0,-0.5,0.5
6867,I11,H3,0,-0.5,0.5
6867,I12,H3,0,-0.5,0.5
6867,I13,H3,0,0.5,0.5
6867,I14,H3,0,0.5,0.5
6867,I15,H3,0,0.5,0.5
6867,I16,H3,0,0.5,0.5
6867,I17,H1,0,-0.5,-0.5
6867,I18,H1,1,-0.5,-0.5
6867,I19,H1,0,-0.5,-0.5
6867,I20,H1,0,-0.5,-0.5
6867,I21,H1,0,0.5,-0.5
6867,I22,H1,0,0.5,-0.5
6867,I23,H1,0,0.5,-0.5
6867,I24,H1,0,0.5,-0.5
6867,I25,H1,1,-0.5,0.5
6867,I26,H1,1,-0.5,0.5
6867,I27,H1,1,-0.5,0.5
6867,I28,H1,0,-0.5,0.5
6867,I29,H1,0,0.5,0.5
6867,I30,H1,0,0.5,0.5
6867,I31,H1,0,0.5,0.5
6867,I32,H1,0,0.5,0.5
6979,I1,H3,0,-0.5,-0.5
6979,I2,H3,0,-0.5,-0.5
6979,I3,H3,1,-0.5,-0.5
6979,I4,H3,1,-0.5,-0.5
6979,I5,H3,0,0.5,-0.5
6979,I6,H3,0,0.5,-0.5
6979,I7,H3,0,0.5,-0.5
6979,I8,H3,0,0.5,-0.5
6979,I9,H3,1,-0.5,0.5
6979,I10,H3,0,-0.5,0.5
6979,I11,H3,1,-0.5,0.5
6979,I12,H3,1,-0.5,0.5
6979,I13,H3,0,0.5,0.5
6979,I14,H3,0,0.5,0.5
6979,I15,H3,0,0.5,0.5
6979,I16,H3,0,0.5,0.5
6979,I17,H1,0,-0.5,-0.5
6979,I18,H1,0,-0.5,-0.5
6979,I19,H1,1,-0.5,-0.5
6979,I20,H1,0,-0.5,-0.5
6979,I21,H1,0,0.5,-0.5
6979,I22,H1,0,0.5,-0.5
6979,I23,H1,0,0.5,-0.5
6979,I24,H1,0,0.5,-0.5
6979,I25,H1,0,-0.5,0.5
6979,I26,H1,0,-0.5,0.5
6979,I27,H1,0,-0.5,0.5
6979,I28,H1,1,-0.5,0.5
6979,I29,H1,0,0.5,0.5
6979,I30,H1,0,0.5,0.5
6979,I31,H1,0,0.5,0.5
6979,I32,H1,0,0.5,0.5
7330,I1,H3,0,-0.5,-0.5
7330,I2,H3,0,-0.5,-0.5
7330,I3,H3,0,-0.5,-0.5
7330,I4,H3,0,-0.5,-0.5
7330,I5,H3,0,0.5,-0.5
7330,I6,H3,0,0.5,-0.5
7330,I7,H3,0,0.5,-0.5
7330,I8,H3,1,0.5,-0.5
7330,I9,H3,0,-0.5,0.5
7330,I10,H3,0,-0.5,0.5
7330,I11,H3,0,-0.5,0.5
7330,I12,H3,1,-0.5,0.5
7330,I13,H3,0,0.5,0.5
7330,I14,H3,0,0.5,0.5
7330,I15,H3,0,0.5,0.5
7330,I16,H3,0,0.5,0.5
7330,I17,H1,1,-0.5,-0.5
7330,I18,H1,0,-0.5,-0.5
7330,I19,H1,0,-0.5,-0.5
7330,I20,H1,0,-0.5,-0.5
7330,I21,H1,0,0.5,-0.5
7330,I22,H1,0,0.5,-0.5
7330,I23,H1,0,0.5,-0.5
7330,I24,H1,0,0.5,-0.5
7330,I25,H1,0,-0.5,0.5
7330,I26,H1,0,-0.5,0.5
7330,I27,H1,0,-0.5,0.5
7330,I28,H1,0,-0.5,0.5
7330,I29,H1,0,0.5,0.5
7330,I30,H1,0,0.5,0.5
7330,I31,H1,0,0.5,0.5
7330,I32,H1,0,0.5,0.5
7402,I1,H3,0,-0.5,-0.5
7402,I2,H3,0,-0.5,-0.5
7402,I3,H3,0,-0.5,-0.5
7402,I4,H3,0,-0.5,-0.5
7402,I5,H3,0,0.5,-0.5
7402,I6,H3,0,0.5,-0.5
7402,I7,H3,0,0.5,-0.5
7402,I8,H3,0,0.5,-0.5
7402,I9,H3,0,-0.5,0.5
7402,I10,H3,0,-0.5,0.5
7402,I11,H3,0,-0.5,0.5
7402,I12,H3,0,-0.5,0.5
7402,I13,H3,0,0.5,0.5
7402,I14,H3,0,0.5,0.5
7402,I15,H3,0,0.5,0.5
7402,I16,H3,0,0.5,0.5
7402,I17,H1,0,-0.5,-0.5
7402,I18,H1,0,-0.5,-0.5
7402,I19,H1,0,-0.5,-0.5
7402,I20,H1,0,-0.5,-0.5
7402,I21,H1,0,0.5,-0.5
7402,I22,H1,0,0.5,-0.5
7402,I23,H1,0,0.5,-0.5
7402,I24,H1,0,0.5,-0.5
7402,I25,H1,0,-0.5,0.5
7402,I26,H1,0,-0.5,0.5
7402,I27,H1,0,-0.5,0.5
7402,I28,H1,0,-0.5,0.5
7402,I29,H1,0,0.5,0.5
7402,I30,H1,0,0.5,0.5
7402,I31,H1,0,0.5,0.5
