"","id","Image","Hurricane","LineStrg","On Line","Lines","value","DamageC","OnLine"
"226",8108,"I7","H3","B","On","1","Equal damage",0,0
"227",5766,"I7","H3","B","On","1","B",1,0
"228",8556,"I7","H3","B","On","1","B",1,0
"229",8103,"I7","H3","B","On","1","B",1,0
"230",6402,"I7","H3","B","On","1","B",1,0
"231",8312,"I7","H3","B","On","1","B",1,0
"232",7699,"I7","H3","B","On","1","Equal damage",0,0
"233",8577,"I7","H3","B","On","1","B",1,0
"234",6035,"I7","H3","B","On","1","Equal damage",0,0
"235",8404,"I7","H3","B","On","1","Equal damage",0,0
"236",8290,"I7","H3","B","On","1","B",1,0
"237",8470,"I7","H3","B","On","1","B",1,0
"238",6781,"I7","H3","B","On","1","B",1,0
"239",8446,"I7","H3","B","On","1","Equal damage",0,0
"240",8659,"I7","H3","B","On","1","B",1,0
"241",8361,"I7","H3","B","On","1","B",1,0
"242",8654,"I7","H3","B","On","1","Equal damage",0,0
"243",8350,"I7","H3","B","On","1","B",1,0
"244",8393,"I7","H3","B","On","1","B",1,0
"245",7548,"I7","H3","B","On","1","B",1,0
"246",5927,"I7","H3","B","On","1","B",1,0
"247",8389,"I7","H3","B","On","1","B",1,0
"248",8328,"I7","H3","B","On","1","B",1,0
"249",8216,"I7","H3","B","On","1","B",1,0
"250",8552,"I7","H3","B","On","1","B",1,0
"251",6942,"I7","H3","B","On","1","B",1,0
"252",NA,"I7","H3","B","On","1","",0,0
"253",8329,"I8","H3","A","On","1","A",1,0
"254",8263,"I8","H3","A","On","1","A",1,0
"255",8372,"I8","H3","A","On","1","A",1,0
"256",6767,"I8","H3","A","On","1","A",1,0
"257",8519,"I8","H3","A","On","1","A",1,0
"258",8281,"I8","H3","A","On","1","A",1,0
"259",5971,"I8","H3","A","On","1","A",1,0
"260",8554,"I8","H3","A","On","1","A",1,0
"261",8536,"I8","H3","A","On","1","A",1,0
"262",8108,"I8","H3","A","On","1","Equal damage",0,0
"263",5766,"I8","H3","A","On","1","A",1,0
"264",8556,"I8","H3","A","On","1","A",1,0
"265",8103,"I8","H3","A","On","1","A",1,0
"266",6402,"I8","H3","A","On","1","A",1,0
"267",8312,"I8","H3","A","On","1","A",1,0
"268",7699,"I8","H3","A","On","1","Equal damage",0,0
"269",8577,"I8","H3","A","On","1","A",1,0
"270",6035,"I8","H3","A","On","1","A",1,0
"271",8404,"I8","H3","A","On","1","A",1,0
"272",8290,"I8","H3","A","On","1","A",1,0
"273",8470,"I8","H3","A","On","1","A",1,0
"274",6781,"I8","H3","A","On","1","A",1,0
"275",8446,"I8","H3","A","On","1","Equal damage",0,0
"276",8659,"I8","H3","A","On","1","A",1,0
"277",8361,"I8","H3","A","On","1","A",1,0
"278",8654,"I8","H3","A","On","1","A",1,0
"279",8350,"I8","H3","A","On","1","A",1,0
"280",8393,"I8","H3","A","On","1","A",1,0
"281",7548,"I8","H3","A","On","1","A",1,0
"282",5927,"I8","H3","A","On","1","Equal damage",0,0
"283",8389,"I8","H3","A","On","1","A",1,0
"284",8328,"I8","H3","A","On","1","A",1,0
"285",8216,"I8","H3","A","On","1","A",1,0
"286",8552,"I8","H3","A","On","1","A",1,0
"287",6942,"I8","H3","A","On","1","A",1,0
"288",NA,"I8","H3","A","On","1","",0,0
"289",8329,"I9","H3","A","Off","2","Equal damage",0,1
"290",8263,"I9","H3","A","Off","2","A",1,1
"291",8372,"I9","H3","A","Off","2","A",1,1
"292",6767,"I9","H3","A","Off","2","A",1,1
"293",8519,"I9","H3","A","Off","2","B",0,1
"294",8281,"I9","H3","A","Off","2","A",1,1
"295",5971,"I9","H3","A","Off","2","B",0,1
"296",8554,"I9","H3","A","Off","2","B",0,1
"297",8536,"I9","H3","A","Off","2","A",1,1
"298",8108,"I9","H3","A","Off","2","A",1,1
"299",5766,"I9","H3","A","Off","2","Equal damage",0,1
"300",8556,"I9","H3","A","Off","2","B",0,1
"301",8103,"I9","H3","A","Off","2","Equal damage",0,1
"302",6402,"I9","H3","A","Off","2","B",0,1
"303",8312,"I9","H3","A","Off","2","Equal damage",0,1
"304",7699,"I9","H3","A","Off","2","Equal damage",0,1
"305",8577,"I9","H3","A","Off","2","A",1,1
"306",6035,"I9","H3","A","Off","2","Equal damage",0,1
"307",8404,"I9","H3","A","Off","2","Equal damage",0,1
"308",8290,"I9","H3","A","Off","2","B",0,1
"309",8470,"I9","H3","A","Off","2","B",0,1
"310",6781,"I9","H3","A","Off","2","A",1,1
"311",8446,"I9","H3","A","Off","2","Equal damage",0,1
"312",8659,"I9","H3","A","Off","2","B",0,1
"313",8361,"I9","H3","A","Off","2","A",1,1
"314",8654,"I9","H3","A","Off","2","Equal damage",0,1
"315",8350,"I9","H3","A","Off","2","B",0,1
"316",8393,"I9","H3","A","Off","2","B",0,1
"317",7548,"I9","H3","A","Off","2","Equal damage",0,1
"318",5927,"I9","H3","A","Off","2","Equal damage",0,1
"319",8389,"I9","H3","A","Off","2","A",1,1
"320",8328,"I9","H3","A","Off","2","A",1,1
"321",8216,"I9","H3","A","Off","2","B",0,1
"322",8552,"I9","H3","A","Off","2","Equal damage",0,1
"323",6942,"I9","H3","A","Off","2","B",0,1
"324",NA,"I9","H3","A","Off","2","",0,1
"325",8329,"I10","H3","B","Off","2","Equal damage",0,1
"326",8263,"I10","H3","B","Off","2","B",1,1
"327",8372,"I10","H3","B","Off","2","B",1,1
"328",6767,"I10","H3","B","Off","2","B",1,1
"329",8519,"I10","H3","B","Off","2","A",0,1
"330",8281,"I10","H3","B","Off","2","B",1,1
"331",5971,"I10","H3","B","Off","2","A",0,1
"332",8554,"I10","H3","B","Off","2","A",0,1
"333",8536,"I10","H3","B","Off","2","B",1,1
"334",8108,"I10","H3","B","Off","2","B",1,1
"335",5766,"I10","H3","B","Off","2","Equal damage",0,1
"336",8556,"I10","H3","B","Off","2","A",0,1
"337",8103,"I10","H3","B","Off","2","Equal damage",0,1
"338",6402,"I10","H3","B","Off","2","A",0,1
"339",8312,"I10","H3","B","Off","2","B",1,1
"340",7699,"I10","H3","B","Off","2","Equal damage",0,1
"341",8577,"I10","H3","B","Off","2","B",1,1
"342",6035,"I10","H3","B","Off","2","Equal damage",0,1
"343",8404,"I10","H3","B","Off","2","Equal damage",0,1
"344",8290,"I10","H3","B","Off","2","A",0,1
"345",8470,"I10","H3","B","Off","2","A",0,1
"346",6781,"I10","H3","B","Off","2","B",1,1
"347",8446,"I10","H3","B","Off","2","Equal damage",0,1
"348",8659,"I10","H3","B","Off","2","A",0,1
"349",8361,"I10","H3","B","Off","2","B",1,1
"350",8654,"I10","H3","B","Off","2","Equal damage",0,1
"351",8350,"I10","H3","B","Off","2","A",0,1
"352",8393,"I10","H3","B","Off","2","A",0,1
"353",7548,"I10","H3","B","Off","2","Equal damage",0,1
"354",5927,"I10","H3","B","Off","2","Equal damage",0,1
"355",8389,"I10","H3","B","Off","2","Equal damage",0,1
"356",8328,"I10","H3","B","Off","2","B",1,1
"357",8216,"I10","H3","B","Off","2","A",0,1
"358",8552,"I10","H3","B","Off","2","A",0,1
"359",6942,"I10","H3","B","Off","2","A",0,1
"360",NA,"I10","H3","B","Off","2","",0,1
"361",8329,"I11","H3","A","Off","2","A",1,1
"362",8263,"I11","H3","A","Off","2","A",1,1
"363",8372,"I11","H3","A","Off","2","A",1,1
"364",6767,"I11","H3","A","Off","2","A",1,1
"365",8519,"I11","H3","A","Off","2","B",0,1
"366",8281,"I11","H3","A","Off","2","A",1,1
"367",5971,"I11","H3","A","Off","2","B",0,1
"368",8554,"I11","H3","A","Off","2","B",0,1
"369",8536,"I11","H3","A","Off","2","A",1,1
"370",8108,"I11","H3","A","Off","2","A",1,1
"371",5766,"I11","H3","A","Off","2","Equal damage",0,1
"372",8556,"I11","H3","A","Off","2","B",0,1
"373",8103,"I11","H3","A","Off","2","B",0,1
"374",6402,"I11","H3","A","Off","2","B",0,1
"375",8312,"I11","H3","A","Off","2","A",1,1
"376",7699,"I11","H3","A","Off","2","A",1,1
"377",8577,"I11","H3","A","Off","2","A",1,1
"378",6035,"I11","H3","A","Off","2","A",1,1
"379",8404,"I11","H3","A","Off","2","Equal damage",0,1
"380",8290,"I11","H3","A","Off","2","B",0,1
"381",8470,"I11","H3","A","Off","2","A",1,1
"382",6781,"I11","H3","A","Off","2","A",1,1
"383",8446,"I11","H3","A","Off","2","A",1,1
"384",8659,"I11","H3","A","Off","2","B",0,1
"385",8361,"I11","H3","A","Off","2","A",1,1
"386",8654,"I11","H3","A","Off","2","A",1,1
"387",8350,"I11","H3","A","Off","2","Equal damage",0,1
"388",8393,"I11","H3","A","Off","2","A",1,1
"389",7548,"I11","H3","A","Off","2","A",1,1
"390",5927,"I11","H3","A","Off","2","A",1,1
"391",8389,"I11","H3","A","Off","2","A",1,1
"392",8328,"I11","H3","A","Off","2","A",1,1
"393",8216,"I11","H3","A","Off","2","B",0,1
"394",8552,"I11","H3","A","Off","2","Equal damage",0,1
"395",6942,"I11","H3","A","Off","2","B",0,1
"396",NA,"I11","H3","A","Off","2","",0,1
"397",8329,"I12","H3","B","Off","2","Equal damage",0,1
"398",8263,"I12","H3","B","Off","2","A",0,1
"399",8372,"I12","H3","B","Off","2","B",1,1
"400",6767,"I12","H3","B","Off","2","Equal damage",0,1
"401",8519,"I12","H3","B","Off","2","A",0,1
"402",8281,"I12","H3","B","Off","2","B",1,1
"403",5971,"I12","H3","B","Off","2","A",0,1
"404",8554,"I12","H3","B","Off","2","A",0,1
"405",8536,"I12","H3","B","Off","2","B",1,1
"406",8108,"I12","H3","B","Off","2","Equal damage",0,1
"407",5766,"I12","H3","B","Off","2","A",0,1
"408",8556,"I12","H3","B","Off","2","A",0,1
"409",8103,"I12","H3","B","Off","2","A",0,1
"410",6402,"I12","H3","B","Off","2","A",0,1
"411",8312,"I12","H3","B","Off","2","Equal damage",0,1
"412",7699,"I12","H3","B","Off","2","Equal damage",0,1
"413",8577,"I12","H3","B","Off","2","B",1,1
"414",6035,"I12","H3","B","Off","2","Equal damage",0,1
"415",8404,"I12","H3","B","Off","2","Equal damage",0,1
"416",8290,"I12","H3","B","Off","2","A",0,1
"417",8470,"I12","H3","B","Off","2","A",0,1
"418",6781,"I12","H3","B","Off","2","B",1,1
"419",8446,"I12","H3","B","Off","2","Equal damage",0,1
"420",8659,"I12","H3","B","Off","2","Equal damage",0,1
"421",8361,"I12","H3","B","Off","2","Equal damage",0,1
"422",8654,"I12","H3","B","Off","2","Equal damage",0,1
"423",8350,"I12","H3","B","Off","2","A",0,1
"424",8393,"I12","H3","B","Off","2","A",0,1
"425",7548,"I12","H3","B","Off","2","Equal damage",0,1
"426",5927,"I12","H3","B","Off","2","Equal damage",0,1
"427",8389,"I12","H3","B","Off","2","B",1,1
"428",8328,"I12","H3","B","Off","2","B",1,1
"429",8216,"I12","H3","B","Off","2","A",0,1
"430",8552,"I12","H3","B","Off","2","A",0,1
"431",6942,"I12","H3","B","Off","2","A",0,1
"432",NA,"I12","H3","B","Off","2","",0,1
"433",8329,"I13","H3","A","On","2","Equal damage",0,0
"434",8263,"I13","H3","A","On","2","A",1,0
"435",8372,"I13","H3","A","On","2","A",1,0
"436",6767,"I13","H3","A","On","2","A",1,0
"437",8519,"I13","H3","A","On","2","A",1,0
"438",8281,"I13","H3","A","On","2","A",1,0
"439",5971,"I13","H3","A","On","2","A",1,0
"440",8554,"I13","H3","A","On","2","A",1,0
"441",8536,"I13","H3","A","On","2","A",1,0
"442",8108,"I13","H3","A","On","2","Equal damage",0,0
"443",5766,"I13","H3","A","On","2","Equal damage",0,0
"444",8556,"I13","H3","A","On","2","A",1,0
"445",8103,"I13","H3","A","On","2","A",1,0
"446",6402,"I13","H3","A","On","2","A",1,0
"447",8312,"I13","H3","A","On","2","Equal damage",0,0
"448",7699,"I13","H3","A","On","2","Equal damage",0,0
"449",8577,"I13","H3","A","On","2","A",1,0
"450",6035,"I13","H3","A","On","2","A",1,0
"451",8404,"I13","H3","A","On","2","A",1,0
"452",8290,"I13","H3","A","On","2","A",1,0
